BHAVA,RASI,GRAHA,LAGNA,Graha in Sign in House,Bepin’s Text,Ownership of the Graha,Sign in House,Graha in House,Graham in Sign,Ascendant of the chart in question,Line #,,,,,,,,,,,,
4,Virgo,Moon,Gemini Ascendant,Moon in Virgo in 4,"With the MOON in this position. the individual is nourished by his relations and friends, who afford him psychological support. His problems arise from misplaced values in life; sometimes his ideas lead him to perverse activities and behavior, he is likely to be wealthy, and so cool that none can fathom what lies beneath his calm facade. His capacity for truly empathic relationships is his unique strength. ",Owns Houses 2 and ,Virgo in 4,Moon in 4,Moon in Virgo,Gemini Ascendant,371,,,,,,,,,,,,
4,Virgo,Mercury,Gemini Ascendant,Mercury in Virgo in 4,"MERCURY occupying this sign and house produces Mahapurusha Yoga, heralding the birth of a great soul. His thinking is very evolved and guides him to a high social status. His understanding of Divine Wisdom is deep; he is especially an expert in the life sciences. His sociability is marked, but there is no aggressive behavior.",Owns Houses 1 and 4,Virgo in 4,Mercury in 4,Mercury in Virgo,Gemini Ascendant,372,,,,,,,,,,,,
4,Virgo,Venus,Gemini Ascendant,Venus in Virgo in 4,"With VENUS in this position, the individual becomes happy, talented, artistic and social; his children are very praiseworthy. However, he may neglect his gifts and burn the candle at both ends by giving way to his desire for sensual enjoyment.",Owns Houses 12 and 5,Virgo in 4,Venus in 4,Venus in Virgo,Gemini Ascendant,373,,,,,,,,,,,,
4,Virgo,Mars,Gemini Ascendant,Mars in Virgo in 4,"MARS enables the individual to acquire property and status, but he feels a great hankering for emotional satisfaction: denied maternal affec­tion, his relationship with his spouse is afflicted and he is socially ill-adjusted. He may even be involved in litigation and disputes regarding property matters.",Owns Houses 11 and 6,Virgo in 4,Mars in 4,Mars in Virgo,Gemini Ascendant,374,,,,,,,,,,,,
4,Virgo,Jupiter,Gemini Ascendant,Jupiter in Virgo in 4,"JUPITER shapes an individual who is very much under the sway of his marriage partner. He is wealthy, honored, and sociable in his learning is proverbial. However, he feels deceived by life, having many skeletons in his closet which he would not want to display before the public. His yearning for ""forbidden fruits"" cannot be easily assuaged.",Owns Houses 7 and 10,Virgo in 4,Jupiter in 4,Jupiter in Virgo,Gemini Ascendant,375,,,,,,,,,,,,
4,Virgo,Saturn,Gemini Ascendant,Saturn in Virgo in 4,"SATURN in this position yields contradictory results, making the person very much misunderstood. He is rich and affluent, but this does not make him happy. He is industrious, anxious to please others, and able to overcome his adversaries; however, he lacks affection from his mother and is emotionally very mean-spirited. He is secretive, diseased, obsessed with his misfortunes. His life is full of complex and troublesome shadows. ",Owns Houses 8 and 9,Virgo in 4,Saturn in 4,Saturn in Virgo,Gemini Ascendant,376,,,,,,,,,,,,
4,Virgo,Rahu,Gemini Ascendant,Rahu in Virgo in 4,"A similar dissatisfaction is produced when RAHU occupies the Fourth house in Virgo. The individual's sex life is very complicated, and emo­tional dissatisfaction is acute or he is usually in the midst of some intrigue. He may be physically weak or psychologically unbalanced.",Owns Houses 2 and ,Virgo in 4,Rahu in 4,Rahu in Virgo,Gemini Ascendant,377,,,,,,,,,,,,
4,Virgo,Ketu,Gemini Ascendant,Ketu in Virgo in 4,"When KETU is in this position, the personality is greatly distorted; the native's thinking is unsound and his sexual relationships are a source of trouble. There is a fire within him which cannot be extinguished by love, sex or money. and which may almost drive him insane.",Owns Houses 7 and 10,Virgo in 4,Ketu in 4,Ketu in Virgo,Gemini Ascendant,378,,,,,,,,,,,,
4,Libra,Sun,Cancer Ascendant,Sun in Libra in 4,"With the SUN in this sign the individual may become extremely selfish, but he will attempt to convince the world otherwise. He becomes wealthy, but lacks respect from other people.",Owns Houses 2 and ,Libra in 4,Sun in 4,Sun in Libra,Cancer Ascendant,379,,,,,,,,,,,,
4,Libra,Moon,Cancer Ascendant,Moon in Libra in 4,"On the other hand, when the MOON occupies this sign the individual is affluent and well-liked. He supports others, is affable, has emotional stability, and gives his total attention to whatever he undertakes. He is happy even if he lacks the basic necessities of life.",Owns Houses 1 and ,Libra in 4,Moon in 4,Moon in Libra,Cancer Ascendant,380,,,,,,,,,,,,
4,Libra,Mercury,Cancer Ascendant,Mercury in Libra in 4,"MERCURY makes the individual intelligent, but does not provide him with the necessary conveniences: he is surrounded by unfriendly relatives, and his health, both physical and psychological, suffers from involvement in unethical relationships.",Owns Houses 12 and 3,Libra in 4,Mercury in 4,Mercury in Libra,Cancer Ascendant,381,,,,,,,,,,,,
4,Libra,Venus,Cancer Ascendant,Venus in Libra in 4,"With VENUS occupying this sign, the life of the individual becomes extremely luxurious. He enjoys ""good things:"" a pleasant house, attractive surroundings, loving relationships, and the society of important people. He becomes some kind of leader in his community, a mayor or city council member. Though this placement seldom leans toward spirituality, it does shape an artist, musician, or connoisseur of the arts.",Owns Houses 11 and 4,Libra in 4,Venus in 4,Venus in Libra,Cancer Ascendant,382,,,,,,,,,,,,
4,Libra,Mars,Cancer Ascendant,Mars in Libra in 4,"MARS enables the individual to gain much wealth and property. His children are very active and bright and he himself will be willing to sacrifice his wealth and comfort to any cause which arouses his sympa­thies. He will be devoted to religion and the elderly, and he will have the best cars as well as the best property. He will always seem happy and joyous.",Owns Houses 10 and 5,Libra in 4,Mars in 4,Mars in Libra,Cancer Ascendant,383,,,,,,,,,,,,
4,Libra,Jupiter,Cancer Ascendant,Jupiter in Libra in 4,"With JUPITER here, the individual will be gifted with a healing touch. Himself very contented, he can sympathize with people in trouble and help them with his sage counsel. He becomes affluent, learned, and very respected in his community; however, he may be slandered by the envious.",Owns Houses 6 and 9,Libra in 4,Jupiter in 4,Jupiter in Libra,Cancer Ascendant,384,,,,,,,,,,,,
4,Libra,Saturn,Cancer Ascendant,Saturn in Libra in 4,"SATURN in Libra indicates an individual with a very special purpose. He will be rich, with an intensely penetrating outlook on life which is bound to annoy others; nevertheless he will be much respected. Bis powerful sexual nature may be beyond his control; he is likely lo covet another's spouse, behave in a licentious manner, and suffer from sexual diseases in consequence. Emotionally, he will always feel restricted and be difficult to please. His uncompromising attitude towards life will create problems in his career.",Owns Houses 7 and 8,Libra in 4,Saturn in 4,Saturn in Libra,Cancer Ascendant,385,,,,,,,,,,,,
4,Libra,Rahu,Cancer Ascendant,Rahu in Libra in 4,"RAHU is not much better: it makes the individual both licentious and depressive, frustrated in life and keeping bad company. He will have setbacks in his career.",Owns Houses 1 and ,Libra in 4,Rahu in 4,Rahu in Libra,Cancer Ascendant,386,,,,,,,,,,,,
4,Libra,Ketu,Cancer Ascendant,Ketu in Libra in 4,"KETU leads to psychological difficulties, especially when afflicted.",Owns Houses 6 and 9,Libra in 4,Ketu in 4,Ketu in Libra,Cancer Ascendant,387,,,,,,,,,,,,
4,Scorpio,Sun,Leo Ascendant,Sun in Scorpio in 4,"When the SUN occupies this sign, the individual feels a sense of loss, despite the fact that his material attainments are substantial.",Owns Houses 1 and ,Scorpio in 4,Sun in 4,Sun in Scorpio,Leo Ascendant,388,,,,,,,,,,,,
4,Scorpio,Moon,Leo Ascendant,Moon in Scorpio in 4,"The MOON makes him better off, but an extravagant nature destroys his peace of mind, and he becomes a cantankerous character.",Owns Houses 12 and ,Scorpio in 4,Moon in 4,Moon in Scorpio,Leo Ascendant,389,,,,,,,,,,,,
4,Scorpio,Mercury,Leo Ascendant,Mercury in Scorpio in 4,"With MERCURY, the intelligence of the person is sharpened, he travels much, and earns a substantial amount of money which is either converted into fixed assets or spent on family responsibilities. Each move is well­ calculated, and every decision geared to some advantage the individual may derive for his personal happiness.",Owns Houses 11 and 2,Scorpio in 4,Mercury in 4,Mercury in Scorpio,Leo Ascendant,390,,,,,,,,,,,,
4,Scorpio,Venus,Leo Ascendant,Venus in Scorpio in 4,"VENUS in this situation is helpful for acquiring material riches and sensual pleasure; the individual also gains social status. His moral stature, however, is low, and he is often involved in illicit affairs.",Owns Houses 10 and 3,Scorpio in 4,Venus in 4,Venus in Scorpio,Leo Ascendant,391,,,,,,,,,,,,
4,Scorpio,Mars,Leo Ascendant,Mars in Scorpio in 4,"MARS in Scorpio is useful for gaining personal power, property, and leadership in one's community. The native is both devotional and calcu­lating. He shuns social associations and parties, and may have a cold or distant relationship with his marriage partner,",Owns Houses 9 and 4,Scorpio in 4,Mars in 4,Mars in Scorpio,Leo Ascendant,392,,,,,,,,,,,,
4,Scorpio,Jupiter,Leo Ascendant,Jupiter in Scorpio in 4,"Many family members depend on the native for physical or financial sustenance when JUPITER occupies the fourth house in Scorpio. He may acquire secret wisdom and control over nature's finer forces, but it is done in order to augment his personal power over others. He is respected in society primarily for his cleverness and the power at his command, I le suffers from physical weakness.",Owns Houses 5 and 8,Scorpio in 4,Jupiter in 4,Jupiter in Scorpio,Leo Ascendant,393,,,,,,,,,,,,
4,Scorpio,Saturn,Leo Ascendant,Saturn in Scorpio in 4,"If SATURN is in Scorpio in the Fourth, the individual may easily succeed in disciplines geared to mastering siddhis, kundalini, or other sources of inner power. He has perseverance as well as intensity, and a detachment amounting almost to cruelty. Such a person does not enjoy a happy family life; his relationship with his mother is not fulfilling, his marital life is difficult, and his career very much obscured. Neither does he enjoy good health.",Owns Houses 6 and 7,Scorpio in 4,Saturn in 4,Saturn in Scorpio,Leo Ascendant,394,,,,,,,,,,,,
4,Scorpio,Rahu,Leo Ascendant,Rahu in Scorpio in 4,"RAHU results in social maladjustment, heart afflictions, and secret diseases.",Owns Houses 12 and ,Scorpio in 4,Rahu in 4,Rahu in Scorpio,Leo Ascendant,395,,,,,,,,,,,,
4,Scorpio,Ketu,Leo Ascendant,Ketu in Scorpio in 4,"With KETU in this position, the individual may become unbalanced, detached from every social relationship. and at worst may even harbor criminal tendencies.",Owns Houses 5 and 8,Scorpio in 4,Ketu in 4,Ketu in Scorpio,Leo Ascendant,396,,,,,,,,,,,,
4,Sagittarius,Sun,Virgo Ascendant,Sun in Sagittarius in 4,"When the SUN occupies this sign, the individual is fired with an ambition for personal transformation, as well as with the urge to transform society for the general good. His influence extends far and wide; even heads of state may become insecure as his growing fame extends over a wide area and captures the imagination of intellectuals. He becomes the equal of a king, and his knowledge of spiritual wisdom adds further power to him.",Owns Houses 12 and ,Sagittarius in 4,Sun in 4,Sun in Sagittarius,Virgo Ascendant,397,,,,,,,,,,,,
4,Sagittarius,Moon,Virgo Ascendant,Moon in Sagittarius in 4,"When the MOON occupies this sign, the individual becomes highly social, his immediate surroundings are very pleasant, and his family is happily disposed towards him. Psychologically, however, there is an intense dissatisfaction in him; he longs for the spouse or property of others. He is afflicted by a secret contradiction; nothing can soothe his nerves.",Owns Houses 11 and ,Sagittarius in 4,Moon in 4,Moon in Sagittarius,Virgo Ascendant,398,,,,,,,,,,,,
4,Sagittarius,Mercury,Virgo Ascendant,Mercury in Sagittarius in 4,"MERCURY will lend a seductive grace. The native•s relationship with everyone will be very happy, but his mother will suffer on his account Some difficulties in married life may also arise. His understanding of the secrets of life is acute, but he can only express his knowledge in allegories and parables, and others will fail to understand him.",Owns Houses 10 and 1,Sagittarius in 4,Mercury in 4,Mercury in Sagittarius,Virgo Ascendant,399,,,,,,,,,,,,
4,Sagittarius,Venus,Virgo Ascendant,Venus in Sagittarius in 4,VENUS makes the person very affable. His relationship with his mother will be extremely pleasant and his approach to life ethical and full of deep significance. He will work for his relatives; he will attain good social status and be honored by the state. He will be very cultured and sensitive.,Owns Houses 9 and 2,Sagittarius in 4,Venus in 4,Venus in Sagittarius,Virgo Ascendant,400,,,,,,,,,,,,
4,Sagittarius,Mars,Virgo Ascendant,Mars in Sagittarius in 4,"MARS provides two possibilities: either the individual will be an ardent student of spiritual practices or a debauchee incapable of listening to good advice. He will be isolated from his friends, have strained relations with his mother, and will engage in secret or disagreeable jobs. He should be on guard against possible heart ailments.",Owns Houses 8 and 3,Sagittarius in 4,Mars in 4,Mars in Sagittarius,Virgo Ascendant,401,,,,,,,,,,,,
4,Sagittarius,Jupiter,Virgo Ascendant,Jupiter in Sagittarius in 4,"JUPITER'S influence in the Fourth house in Sagittarius produces an idealist whose life is devoted to helping others, maintaining good family relationships, and attending to his vocation honorably and conscien­tiously. He acquires status in society and is famous for his learning, his knowledge of spiritual teachings and for his helpful attitude to everyone. He lives in a beautiful house which is nevertheless more dignified than ostentatious.",Owns Houses 4 and 7,Sagittarius in 4,Jupiter in 4,Jupiter in Sagittarius,Virgo Ascendant,402,,,,,,,,,,,,
4,Sagittarius,Saturn,Virgo Ascendant,Saturn in Sagittarius in 4,"With SATURN in this position, the individual lives in an old but large house. Such an individual is also very rich, and his children are much respected-. He is able to overcome his competitors but is inwardly very lonely. He feels that no one understands or shares his inner feelings, ambitions, and sense of alienation.",Owns Houses 5 and 6,Sagittarius in 4,Saturn in 4,Saturn in Sagittarius,Virgo Ascendant,403,,,,,,,,,,,,
4,Sagittarius,Rahu,Virgo Ascendant,Rahu in Sagittarius in 4,"RAHU makes the individual an agnostic. He keeps bad company, indulges in secret pleasures, and may become a bad influence on others. ",Owns Houses 11 and ,Sagittarius in 4,Rahu in 4,Rahu in Sagittarius,Virgo Ascendant,404,,,,,,,,,,,,
4,Sagittarius,Ketu,Virgo Ascendant,Ketu in Sagittarius in 4,"With KETU the individual is skeptical of all religious teachings, incites others to abandon their faith, and indulge in unbridled pleasures.",Owns Houses 4 and 7,Sagittarius in 4,Ketu in 4,Ketu in Sagittarius,Virgo Ascendant,405,,,,,,,,,,,,
4,Capricorn,Sun,Libra Ascendant,Sun in Capricorn in 4,"The SUN in this sign should enable the individual to see the light of time wisdom and acquire a large number of followers. He will have self-confidence, high social position, and be skilled in his vocation. He will, however, have no place for emotions in his life: he will be estranged from his mother, his father will be unhappy with him, and his friends will be aloof. His isolation from the mainstream of life, if other planetary factors are weak, may even leave him psychologically unbalanced.",Owns Houses 11 and ,Capricorn in 4,Sun in 4,Sun in Capricorn,Libra Ascendant,406,,,,,,,,,,,,
4,Capricorn,Moon,Libra Ascendant,Moon in Capricorn in 4,"When the MOON occupies this position the person acquires a special sensitivity to the feelings of others. In spite of hostile surroundings, he maintains his mental composure and attains respect.able professional status.",Owns Houses 10 and ,Capricorn in 4,Moon in 4,Moon in Capricorn,Libra Ascendant,407,,,,,,,,,,,,
4,Capricorn,Mercury,Libra Ascendant,Mercury in Capricorn in 4,"MERCURY will make the individual a likeable social being, a bit re.strained but very capable of interesting conversation. He is trusted and travels much his profession often takes him to distant lands. ",Owns Houses 9 and 12,Capricorn in 4,Mercury in 4,Mercury in Capricorn,Libra Ascendant,408,,,,,,,,,,,,
4,Capricorn,Venus,Libra Ascendant,Venus in Capricorn in 4,"VENUS makes the individual very sensitive, forgetting nothing and able to decipher the slightest changes in the mood of others. He may be surrounded by secret enemies, but he will also indulge in secret pleasures. He lives luxuriously and places the highest value on material comforts.",Owns Houses 8 and 1,Capricorn in 4,Venus in 4,Venus in Capricorn,Libra Ascendant,409,,,,,,,,,,,,
4,Capricorn,Mars,Libra Ascendant,Mars in Capricorn in 4,"MARS makes an exception3l individual, fired with imagination, capable of achieving his ambitions and mobilizing public support for his plans. He is faithful to his spouse and full of warmth for his relations, but he lacks motherly support. He does not indulge in theoretical disputations, preferring the active pursuit of material objects. He is rich, owning extensive landed property and many vehicles. He rises very high in his career, but despite high status and a leadership position in the community he holds himself aloof from others and maintains an isolated emotional existence.",Owns Houses 7 and 2,Capricorn in 4,Mars in 4,Mars in Capricorn,Libra Ascendant,410,,,,,,,,,,,,
4,Capricorn,Jupiter,Libra Ascendant,Jupiter in Capricorn in 4,"JUPITER loses much of its usual radiance here and is incapable of providing the necessary protection to the individual for his growth and development. The native becomes selfish, depressed, diseased and dis­honored. He is plagued by his siblings, and his competitors are oppressive. Such a person often leaves his home and takes up residence in a foreign land.",Owns Houses 3 and 6,Capricorn in 4,Jupiter in 4,Jupiter in Capricorn,Libra Ascendant,411,,,,,,,,,,,,
4,Capricorn,Saturn,Libra Ascendant,Saturn in Capricorn in 4,"SATURN makes the individual a leader in his community, His children are a great support to him, and his intellectual understanding of the finer forces of nature is very deep; he espouses a futuristic philosophy of life. His licentious nature will be his greatest weakness.",Owns Houses 4 and 5,Capricorn in 4,Saturn in 4,Saturn in Capricorn,Libra Ascendant,412,,,,,,,,,,,,
4,Capricorn,Rahu,Libra Ascendant,Rahu in Capricorn in 4,"RAHU in this sign can make the individual a profound philosopher who puts aside the conventions of religion to seek the truth behind all outward forms, or it can make him a leader of rebels, atheists, or the dispossessed.",Owns Houses 10 and ,Capricorn in 4,Rahu in 4,Rahu in Capricorn,Libra Ascendant,413,,,,,,,,,,,,
4,Capricorn,Ketu,Libra Ascendant,Ketu in Capricorn in 4,"With KETU in this sign, the individual will be an example of self-ab­ negation, austerity, and abnormal self-pity, though he may also have some direct experience of his inner spiritual powers.",Owns Houses 3 and 6,Capricorn in 4,Ketu in 4,Ketu in Capricorn,Libra Ascendant,414,,,,,,,,,,,,
4,Aquarius,Sun,Scorpio Ascendant,Sun in Aquarius in 4,"The SUN in this sign produces a mysterious situation. The native is almost regal in status, but in the domain of secret knowledge or secret wealth. He has tremendous control over his emotions, and can act ruth­lessly in the execution of his designs. He is respected and even feared: such a person can be a yogi immersed in austerities, a successful smuggler, or a king of the underworld.",Owns Houses 10 and ,Aquarius in 4,Sun in 4,Sun in Aquarius,Scorpio Ascendant,415,,,,,,,,,,,,
4,Aquarius,Moon,Scorpio Ascendant,Moon in Aquarius in 4,The MOON imparts a materialistic philosophy: such an individual thinks that the highest aim in life is to spend one's time as happily and joyously as possible.,Owns Houses 9 and ,Aquarius in 4,Moon in 4,Moon in Aquarius,Scorpio Ascendant,416,,,,,,,,,,,,
4,Aquarius,Mercury,Scorpio Ascendant,Mercury in Aquarius in 4,"When MERCURY is in Aquarius in the Fourth, the individual earns money and renown from his writings and consultations. He will advise people on their secret personal problems. He is a deep thinker, but sometimes gets into trouble due to the advice he gives others. Venus makes the individual rich, sensitive, and very renowned abroad. He is affable, fond of his mother, and has a very sensual temperament. Nevertheless, he has a congenial married life and is engaged in philanthropic activities.",Owns Houses 8 and 11,Aquarius in 4,Mercury in 4,Mercury in Aquarius,Scorpio Ascendant,417,,,,,,,,,,,,
4,Aquarius,Venus,Scorpio Ascendant,Venus in Aquarius in 4,"VENUS makes the individual rich, sensitive, and very renowned abroad. He is affable, fond of his mother, and has a very sensual temperament. Nevertheless, he has a congenial married life and is engaged in philanthropic activities.",Owns Houses 7 and 12,Aquarius in 4,Venus in 4,Venus in Aquarius,Scorpio Ascendant,418,,,,,,,,,,,,
4,Aquarius,Mars,Scorpio Ascendant,Mars in Aquarius in 4,"MARS shapes a native who is mentally weak and emotionally com­ plicated, who may adopt surreptitious methods to acquire status and evaluate everything with the yardstick of material wealth. His immediate environment is seldom pleasant, and he is estranged from his spouse.",Owns Houses 6 and 1,Aquarius in 4,Mars in 4,Mars in Aquarius,Scorpio Ascendant,419,,,,,,,,,,,,
4,Aquarius,Jupiter,Scorpio Ascendant,Jupiter in Aquarius in 4,"JUPITER is not well placed in this sign. Under its influence there is a break in the individual's education and he gains no comfort from his children. He is honorable in a general way, but incurs loss of property and suffers from diseases of a psychological nature. His yearning for illicit affairs may take a heavy toll.",Owns Houses 2 and 5,Aquarius in 4,Jupiter in 4,Jupiter in Aquarius,Scorpio Ascendant,420,,,,,,,,,,,,
4,Aquarius,Saturn,Scorpio Ascendant,Saturn in Aquarius in 4,"SATURN makes the individual very important, almost like a king, a leader of the community. His morals may be low but his opponents are always vanquished.",Owns Houses 3 and 4,Aquarius in 4,Saturn in 4,Saturn in Aquarius,Scorpio Ascendant,421,,,,,,,,,,,,
4,Aquarius,Rahu,Scorpio Ascendant,Rahu in Aquarius in 4,"With RAHU in Aquarius, the individual may talk of high ideals, but there will be something lacking in his demeanor: his companions are dishonest, his dealings underhanded, and his attitude may be mean-spir­ited.",Owns Houses 9 and ,Aquarius in 4,Rahu in 4,Rahu in Aquarius,Scorpio Ascendant,422,,,,,,,,,,,,
4,Aquarius,Ketu,Scorpio Ascendant,Ketu in Aquarius in 4,"With KETU there is considerable mental power and the individual may develop many original social ideas, but they are never carried out, often because they are not well planned. The individual is also likely to suffer from some sort of mental aberration. He is personally disenchanted and emotionally dried up.",Owns Houses 2 and 5,Aquarius in 4,Ketu in 4,Ketu in Aquarius,Scorpio Ascendant,423,,,,,,,,,,,,
4,Piscis,Sun,Sagittarius Ascendant,Sun in Piscis in 4,"The SUN in this sign and house makes the individual almost kingly; they are wealthy, powerful, intelligent, and well-placed in society. They have a deep knowledge of scriptures. They enhance the prestige of their family and are a great support to their relations.",Owns Houses 9 and ,Piscis in 4,Sun in 4,Sun in Piscis,Sagittarius Ascendant,424,,,,,,,,,,,,
4,Piscis,Moon,Sagittarius Ascendant,Moon in Piscis in 4,"When the MOON occupies this position, the individual suffers from some ailment of the genitals but is greatly renowned for learning, especially regarding spiritual traditions and secret sciences. They enjoy the affection of their mother and the goodwill of their family relations. They attain a high official status.",Owns Houses 8 and ,Piscis in 4,Moon in 4,Moon in Piscis,Sagittarius Ascendant,425,,,,,,,,,,,,
4,Piscis,Mercury,Sagittarius Ascendant,Mercury in Piscis in 4,"When MERCURY is in Pisces, the individual may become a renowned thinker whose reputation for literary achievement extends far and wide. They will have great insight into the wisdom of the East as well as an extraordinary command of sciences such as biology. Their family is very close-knit; everyone is friendly with one another. Their spouse is a source of strength to them and contributes to their professional life.",Owns Houses 7 and 10,Piscis in 4,Mercury in 4,Mercury in Piscis,Sagittarius Ascendant,426,,,,,,,,,,,,
4,Piscis,Venus,Sagittarius Ascendant,Venus in Piscis in 4,"VENUS is superbly placed in this sign and bestows on the individual every desirable thing in life. Their sensibility is refined, their immediate surroundings are very pleasant, their friends are respectable, and they themselves are well-versed in several of the fine arts. They will be rich. They are held in great esteem by their people, and the state honors them for their achievements.",Owns Houses 6 and 11,Piscis in 4,Venus in 4,Venus in Piscis,Sagittarius Ascendant,427,,,,,,,,,,,,
4,Piscis,Mars,Sagittarius Ascendant,Mars in Piscis in 4,"MARS in the Fourth house in Pisces is favorable for material gains. The individual's children are helpful, and they themselves are lucky in their amorous adventures. They attach great importance to their financial status and are bent upon accumulating property. They are very proud and have a sharp intellect.",Owns Houses 5 and 12,Piscis in 4,Mars in 4,Mars in Piscis,Sagittarius Ascendant,428,,,,,,,,,,,,
4,Piscis,Jupiter,Sagittarius Ascendant,Jupiter in Piscis in 4,"When JUPITER occupies this sign, the individual is an evolved soul who has taken birth for some special purpose. They devote themselves to the performance of religious duties and the study of scriptures; they are philanthropic and engaged in social service. Their personal life is very ethical, but they prefer to keep their ambitions and preoccupations to themselves rather than sharing them with others. They are a profound thinker, a great support to their family, and have an honorable status in their career and in society. Their renown is extensive, and they are greatly honored for their learning, even abroad.",Owns Houses 1 and 4,Piscis in 4,Jupiter in 4,Jupiter in Piscis,Sagittarius Ascendant,429,,,,,,,,,,,,
4,Piscis,Saturn,Sagittarius Ascendant,Saturn in Piscis in 4,SATURN makes the individual wealthy. He attains a high social standing; his position is important in the material world.,Owns Houses 2 and 3,Piscis in 4,Saturn in 4,Saturn in Piscis,Sagittarius Ascendant,430,,,,,,,,,,,,
4,Piscis,Rahu,Sagittarius Ascendant,Rahu in Piscis in 4,"When RAHU is occupying this sign, the individual relies upon the performance of rituals and strict adherence to religious observances. He suffers from some guilt complex which is extremely difficult to external­ize and eliminate. He keeps bad company, from which he finds it difficult to extricate himself even though he repents of the association.",Owns Houses 8 and ,Piscis in 4,Rahu in 4,Rahu in Piscis,Sagittarius Ascendant,431,,,,,,,,,,,,
4,Piscis,Ketu,Sagittarius Ascendant,Ketu in Piscis in 4,"Under the influence of KETU, the individual becomes detached from society, is philosophical in his approach, and prefers keeping his own company. He is very contemplative, and usually immersed in meditation on deep cosmic problems which he rarely communicates to others.",Owns Houses 1 and 4,Piscis in 4,Ketu in 4,Ketu in Piscis,Sagittarius Ascendant,432,,,,,,,,,,,,
5,Aries,Sun,Sagittarius Ascendant,Sun in Aries in 5,"When the SUN occupies this sign, the focus of the native's life is shifted from the physical to the metaphysical. Idealism of some kind fires his imagination, and his entire life revolves around that ideal. He is primarily concerned with the realization of some abstract delight, princi­ple, or the discovery of nature's secret, and his central effort is to reach the core of the goal he has cherished. He has very few children (generally only one son), but his intellect and understanding are widely acclaimed as original and important. He becomes renowned for his thinking.",Owns Houses 9 and ,Aries in 5,Sun in 5,Sun in Aries,Sagittarius Ascendant,433,,,,,,,,,,,,
5,Aries,Moon,Sagittarius Ascendant,Moon in Aries in 5,"With the MOON in this sign, the individual resolves his fiery enthu­siasm and settles down to nurture his personal life, delighting and rejoicing with his near and dear ones. Through that orientation to life he comes to understand himself on a very deep level, as well as the society around him. He is much sought after, though he himself prefers to live an isolated life secluded from social obligations.",Owns Houses 8 and ,Aries in 5,Moon in 5,Moon in Aries,Sagittarius Ascendant,434,,,,,,,,,,,,
5,Aries,Mercury,Sagittarius Ascendant,Mercury in Aries in 5,"MERCURY will make the individual talkative and interested in law, economics, commerce, astrology and journalism; but, more importantly, it will provide him with property derived from his spouse lie will have some bright children, but his education and intelligence may not be very helpful to his career.",Owns Houses 7 and 10,Aries in 5,Mercury in 5,Mercury in Aries,Sagittarius Ascendant,435,,,,,,,,,,,,
5,Aries,Venus,Sagittarius Ascendant,Venus in Aries in 5,"VENUS will make the native more sociable, interested in the fine arts, poetry, perfumes and good company, but his intellectual attainments will be mediocre. He will have children and live within the immediate circle of his family. He will, however, at some time be involved in a scandal.",Owns Houses 6 and 11,Aries in 5,Venus in 5,Venus in Aries,Sagittarius Ascendant,436,,,,,,,,,,,,
5,Aries,Mars,Sagittarius Ascendant,Mars in Aries in 5,"MARS occupying this sign and house shapes an idealist who will be much concerned with making his imprint on the society in which he lives. He will be very hard-working; his knowledge of agriculture, military science, criminal investigation or technological subjects will make him renowned in foreign countries. He will find the company of others distasteful, and as far as children are concerned he will be unlucky.",Owns Houses 5 and 12,Aries in 5,Mars in 5,Mars in Aries,Sagittarius Ascendant,437,,,,,,,,,,,,
5,Aries,Jupiter,Sagittarius Ascendant,Jupiter in Aries in 5,"JUPITER in this position will not make the native lucky concerning offspring, but his deep learning, sane advice, philanthropic attitude, and deeply religious approach to life will earn much respect for him. He will perform meritorious deeds whose rewards he wi1l receive in the latter part of his life.",Owns Houses 1 and 4,Aries in 5,Jupiter in 5,Jupiter in Aries,Sagittarius Ascendant,438,,,,,,,,,,,,
5,Aries,Saturn,Sagittarius Ascendant,Saturn in Aries in 5,"SATURN gives an individual many children, but they will not bring much comfort to him. His education will be obstructed. The native will be skilled in mechanical engineering, but will fail to earn a decent living. His family life will be disturbed and financial difficulties will make him very depressive.",Owns Houses 2 and 3,Aries in 5,Saturn in 5,Saturn in Aries,Sagittarius Ascendant,439,,,,,,,,,,,,
5,Aries,Rahu,Sagittarius Ascendant,Rahu in Aries in 5,"RAHU will make the individual voluptuous, mingling with undesir­able characters. His education will be poor and he may be involved in activities such as smuggling or drug traffic.",Owns Houses 8 and ,Aries in 5,Rahu in 5,Rahu in Aries,Sagittarius Ascendant,440,,,,,,,,,,,,
5,Aries,Ketu,Sagittarius Ascendant,Ketu in Aries in 5,"KETU will also obstruct the individual's education, but the native will be engaged in deep contemplation. Most people will misunderstand him and may even consider his concerns perverse.",Owns Houses 1 and 4,Aries in 5,Ketu in 5,Ketu in Aries,Sagittarius Ascendant,441,,,,,,,,,,,,
5,Taurus,Sun,Capricorn Ascendant,Sun in Taurus in 5,"When the SUN occupies this sign, the native's personal life is upset by several diseases which make a deep impact on him. The number of his children is restricted and their health may not be sound. As a student he will be considered very bright, but will fail to secure good results.",Owns Houses 8 and ,Taurus in 5,Sun in 5,Sun in Taurus,Capricorn Ascendant,442,,,,,,,,,,,,
